chunk_id,scheme,section,text
10_3,pradhan mantri suraksha bima yojana (pmsby),age_income,Scheme: pradhan mantri suraksha bima yojana (pmsby). Age requirement: 18 70 years. Income requirement: no income ceiling stated.
10_4,pradhan mantri suraksha bima yojana (pmsby),coverage_category,Scheme: pradhan mantri suraksha bima yojana (pmsby). State or coverage: all india. Category: accident insurance / financial security
10_5,pradhan mantri suraksha bima yojana (pmsby),application,Scheme: pradhan mantri suraksha bima yojana (pmsby). Application process: enroll through participating bank/post office with consent for auto-debit.
11_1,pradhan mantri jeevan jyoti bima yojana (pmjjby),eligibility,Scheme: pradhan mantri jeevan jyoti bima yojana (pmjjby). Eligibility: individual account holder of participating bank/post office.
11_2,pradhan mantri jeevan jyoti bima yojana (pmjjby),benefits,Scheme: pradhan mantri jeevan jyoti bima yojana (pmjjby). Benefits: life cover of ₹2 lakh for death due to any cause annual premium ₹436.
11_3,pradhan mantri jeevan jyoti bima yojana (pmjjby),age_income,Scheme: pradhan mantri jeevan jyoti bima yojana (pmjjby). Age requirement: 18 50 years at entry. Income requirement: no income ceiling stated.
11_4,pradhan mantri jeevan jyoti bima yojana (pmjjby),coverage_category,Scheme: pradhan mantri jeevan jyoti bima yojana (pmjjby). State or coverage: all india. Category: life insurance / financial security
11_5,pradhan mantri jeevan jyoti bima yojana (pmjjby),application,Scheme: pradhan mantri jeevan jyoti bima yojana (pmjjby). Application process: enroll through participating bank/post office with auto-debit consent.
12_1,sukanya samriddhi account (ssa),eligibility,"Scheme: sukanya samriddhi account (ssa). Eligibility: guardian can open account for a girl child below 10 years normally one account per girl child, subject to scheme rules."
12_2,sukanya samriddhi account (ssa),benefits,"Scheme: sukanya samriddhi account (ssa). Benefits: government-backed savings account minimum ₹250 annual deposit, maximum ₹1.5 lakh/year maturity after 21 years tax benefits under applicable rules."
12_3,sukanya samriddhi account (ssa),age_income,Scheme: sukanya samriddhi account (ssa). Age requirement: girl child below 10 years at account opening. Income requirement: no income ceiling stated.
12_4,sukanya samriddhi account (ssa),coverage_category,Scheme: sukanya samriddhi account (ssa). State or coverage: all india. Category: girl child / savings / education
12_5,sukanya samriddhi account (ssa),application,"Scheme: sukanya samriddhi account (ssa). Application process: open at post office or authorized bank guardian submits required identity, residence and birth documents."
13_1,pradhan mantri matru vandana yojana (pmmvy),eligibility,"Scheme: pradhan mantri matru vandana yojana (pmmvy). Eligibility: eligible pregnant/lactating women from specified socially/economically disadvantaged groups also includes women meeting listed criteria such as sc/st, bpl, pm-jay, e-shram, mgnrega or family income below ₹8 lakh/year."
13_2,pradhan mantri matru vandana yojana (pmmvy),benefits,"Scheme: pradhan mantri matru vandana yojana (pmmvy). Benefits: ₹5,000 for first child in two instalments ₹6,000 for second child when the second child is a girl, subject to conditions."
13_3,pradhan mantri matru vandana yojana (pmmvy),age_income,Scheme: pradhan mantri matru vandana yojana (pmmvy). Age requirement: pregnant/lactating women no general age limit stated. Income requirement: one eligibility route is net family income below ₹8 lakh/year.
13_4,pradhan mantri matru vandana yojana (pmmvy),coverage_category,"Scheme: pradhan mantri matru vandana yojana (pmmvy). State or coverage: pan-india, except odisha and telangana currently not implementing pmmvy. Category: women / maternity / nutrition"
13_5,pradhan mantri matru vandana yojana (pmmvy),application,Scheme: pradhan mantri matru vandana yojana (pmmvy). Application process: eligible woman can apply through anganwadi/asha worker or directly through pmmvy portal.
14_1,pradhan mantri fasal bima yojana (pmfby),eligibility,Scheme: pradhan mantri fasal bima yojana (pmfby). Eligibility: farmers growing notified crops in notified areas and seasons under the scheme exact crop/area participation is notified by the state.
14_2,pradhan mantri fasal bima yojana (pmfby),benefits,"Scheme: pradhan mantri fasal bima yojana (pmfby). Benefits: crop insurance against notified risks farmer premium capped at 2% for kharif food/oilseed crops, 1.5% for rabi food/oilseed crops and 5% for commercial/horticultural crops."
14_3,pradhan mantri fasal bima yojana (pmfby),age_income,Scheme: pradhan mantri fasal bima yojana (pmfby). Age requirement: no fixed age limit stated. Income requirement: no income ceiling stated.
14_4,pradhan mantri fasal bima yojana (pmfby),coverage_category,Scheme: pradhan mantri fasal bima yojana (pmfby). State or coverage: participating states/uts crop and area notified by state authorities. Category: farmers / crop insurance
14_5,pradhan mantri fasal bima yojana (pmfby),application,"Scheme: pradhan mantri fasal bima yojana (pmfby). Application process: apply through official pmfby portal, authorized agencies/banks/cscs as applicable."
15_1,stand-up india,eligibility,Scheme: stand-up india. Eligibility: sc/st and/or women entrepreneurs aged above 18 setting up a greenfield enterprise loan available through scheduled commercial bank branches.
15_2,stand-up india,benefits,"Scheme: stand-up india. Benefits: bank loans from ₹10 lakh to ₹1 crore for eligible greenfield enterprises in manufacturing, services, trading or allied agriculture activities."
15_3,stand-up india,age_income,Scheme: stand-up india. Age requirement: 18+ years. Income requirement: no universal income ceiling stated.
15_4,stand-up india,coverage_category,Scheme: stand-up india. State or coverage: all india. Category: sc/st / women entrepreneurs / business
15_5,stand-up india,application,"Scheme: stand-up india. Application process: apply at a scheduled commercial bank branch, through stand-up india portal or via lead district manager."
